C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.10CEST06:15:14

Vmag < 6 & maintypes='*'
------------------------

Number of objects : 5056

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type      
----;-----------------------------------;---;---------------------------------------;--------------------;----------;-----------;------------;-----------;---------;---------;---------;---------;---------;---------------------
26  ;* gam02 And                        ;SB*;02 03 54.7580291496 +42 19 51.281119488; 16.645 -47.746     ;12.0724   ;-14.0      ;-0.000047   ;-14.00     ;     ~   ;5.02     ;5.82     ;     ~   ;4.862768 ;B9.5V+A0V            
27  ;* gam01 And                        ;*  ;02 03 53.95229 +42 19 47.0223          ;   42.32 -49.30     ;8.30      ;-11.50     ;-0.000038   ;-11.50     ;4.22     ;3.30     ;2.10     ;1.16     ;     ~   ;K2+IIb               
28  ;HD 14622                           ;PM*;02 22 50.3034199104 +41 23 46.657521456;-75.147 -98.755     ;20.6905   ;-34.5      ;-0.000115   ;-34.50     ;     ~   ;6.063    ;5.795    ;     ~   ;5.743348 ;F0III-IV             
29  ;* 20 Per                           ;** ;02 53 42.6170816261 +38 20 14.852045941; 50.984 -79.589     ;16.6043   ;5.37       ;0.000018    ;5.37       ;     ~   ;5.742    ;5.343    ;     ~   ;5.266964 ;F6V                  
30  ;* 75 Cyg                           ;** ;21 40 11.1100359936 +43 16 25.815895860;  60.900 15.491     ;7.3395    ;-29.25     ;-0.000098   ;-29.25     ;     ~   ;6.682    ;5.086    ;     ~   ;4.358688 ;M1IIIab              
31  ;HD 209945                          ;*  ;22 06 01.9526899392 +45 00 51.650286984; -8.826 -16.090     ;4.7509    ;-24.13     ;-0.000080   ;-24.13     ;     ~   ;6.649    ;5.070    ;     ~   ;4.442176 ;K5III                
32  ;HD 209515                          ;a2*;22 02 56.66068 +44 38 59.5009          ;  -20.85 -33.02     ;6.62      ;-10.40     ;-0.000035   ;-10.40     ;     ~   ;5.565    ;5.596    ;     ~   ;     ~   ;B9.5VpCrSiSr         
33  ;HD 211096                          ;PM*;22 13 49.2402464184 +45 26 26.201813100;   73.746 4.159     ;12.8997   ;-9.4       ;-0.000031   ;-9.40      ;5.530    ;5.530    ;5.530    ;     ~   ;5.527112 ;A0III                
34  ;* 2 Lac                            ;SB*;22 21 01.5473008957 +46 32 11.651206597;   22.035 1.927     ;5.2687    ;-9.5       ;-0.000032   ;-9.50      ;3.95     ;4.431    ;4.540    ;     ~   ;4.537015 ;B6V                  
35  ;* 5 Lac                            ;s*r;22 29 31.8281552924 +47 42 24.861238614;  -2.554 -5.372     ;1.4838    ;-12.93     ;-0.000043   ;-12.93     ;7.15     ;6.05     ;4.37     ;2.98     ;3.536360 ;K9Ia+B2V             
36  ;* 7 And                            ;PM*;23 12 33.0035121942 +49 24 22.345927341;  89.939 95.704     ;40.2940   ;11.03      ;0.000037    ;11.03      ;4.85     ;4.81     ;4.52     ;4.23     ;4.438951 ;F1V                  
37  ;* 8 And                            ;*  ;23 17 44.6472657024 +49 00 55.082930904;   33.779 6.213     ;5.6963    ;-8.05      ;-0.000027   ;-8.05      ;8.50     ;6.53     ;4.86     ;3.40     ;3.934003 ;M2.5IIIBa0.5         
38  ;* 11 And                           ;PM*;23 19 29.8077401832 +48 37 31.163086704;  22.130 52.573     ;11.3828   ;9.99       ;0.000033    ;9.99       ;     ~   ;6.453    ;5.440    ;     ~   ;5.163304 ;K0III                
39  ;* 18 And                           ;*  ;23 39 08.3316539712 +50 28 18.237535608; -17.057 -2.041     ;7.7914    ;5.93       ;0.000020    ;5.93       ;     ~   ;5.24     ;5.35     ;     ~   ;5.331331 ;B9Ve                 
40  ;HD 1279                            ;*  ;00 17 09.0440331312 +47 56 50.661966660;   4.111 -3.659     ;2.8487    ;-7.24      ;-0.000024   ;-7.24      ;5.36     ;5.764    ;5.852    ;     ~   ;5.835224 ;B7III                
41  ;HD 3574                            ;*  ;00 39 09.8940906336 +49 21 16.517849688;   7.169 -2.908     ;2.1129    ;-6.46      ;-0.000022   ;-6.46      ;     ~   ;7.072    ;5.419    ;     ~   ;4.815407 ;K5III                
42  ;* omi Cas                          ;Be*;00 44 43.5186007265 +48 17 03.731037403;  17.415 -8.947     ;0.5116    ;-16.9      ;-0.000056   ;-16.90     ;3.91     ;4.44     ;4.50     ;4.45     ;4.349490 ;B5IIIe               
43  ;* 68 Cas                           ;Pu*;00 44 26.1915514056 +47 51 50.342883408;  -39.855 8.455     ;4.4530    ;-66.00     ;-0.000220   ;-65.99     ;     ~   ;5.520    ;5.648    ;     ~   ;5.636003 ;B5V                  
44  ;* phi And                          ;Be*;01 09 30.12562 +47 14 30.4594          ;    4.05 -12.43     ;4.55      ;-2.20      ;-0.000007   ;-2.20      ;3.84     ;4.18     ;4.25     ;4.22     ;     ~   ;B5IIIe               
45  ;* phi And A                        ;*  ;01 09 30.122064 +47 14 30.46772        ;      0.0 -10.8     ;      ~   ;~          ;~           ;~          ;     ~   ;4.54     ;4.294    ;     ~   ;     ~   ;~                    
46  ;* phi And B                        ;*  ;01 09 30.152592 +47 14 30.22678        ;      0.0 -10.8     ;      ~   ;~          ;~           ;~          ;     ~   ;5.55     ;5.62     ;     ~   ;     ~   ;~                    
47  ;* 49 And                           ;*  ;01 30 06.1015103472 +47 00 26.181123984; -0.950 -42.638     ;9.7947    ;-11.48     ;-0.000038   ;-11.48     ;     ~   ;6.261    ;5.261    ;     ~   ;5.011265 ;K0III                
48  ;* b And                            ;SB*;02 13 13.3221992348 +44 13 53.927938133;  -20.90 -14.46     ;5.2634    ;-48.00     ;-0.000160   ;-48.00     ;     ~   ;6.320    ;4.826    ;     ~   ;4.276864 ;K4-III:              
49  ;* 12 Per                           ;SB*;02 42 14.9145674304 +40 11 38.221732500;-18.669 -186.190    ;41.7962   ;-23.04     ;-0.000077   ;-23.04     ;5.65     ;5.51     ;4.92     ;4.42     ;4.721669 ;F9V                  
50  ;* pi. Per                          ;*  ;02 58 45.6701619312 +39 39 45.815580720; 25.048 -41.522     ;10.4437   ;14.2       ;0.000047    ;14.20      ;4.88     ;4.76     ;4.70     ;4.60     ;4.648067 ;A2Vn                 
51  ;* rho Per                          ;LP*;03 05 10.59385 +38 50 24.9943          ; 129.22 -105.70     ;10.60     ;27.067200  ;0.000090    ;27.07      ;6.83     ;5.04     ;3.39     ;1.59     ;2.111629 ;M4+IIIa              
52  ;* nu. Cyg                          ;** ;20 57 10.4187305125 +41 10 01.671428052;  11.263 -6.735     ;7.9568    ;-27.60     ;-0.000092   ;-27.60     ;3.96     ;3.96     ;3.94     ;3.89     ;3.885610 ;A0IIIn               
53  ;* ksi Cyg                          ;SB*;21 04 55.8599363125 +43 55 40.272058234;   10.062 0.861     ;2.8363    ;-19.10     ;-0.000064   ;-19.10     ;7.17     ;5.39     ;3.73     ;2.55     ;3.063898 ;K4.5Ib-II            
54  ;* 68 Cyg                           ;SB*;21 18 27.1862219256 +43 56 45.399147864;   4.632 -8.487     ;1.4498    ;1.0        ;0.000003    ;1.00       ;4.05     ;4.99     ;5.00     ;     ~   ;4.992317 ;O7.5IIIn((f))        
55  ;* g Cyg                            ;PM*;21 29 26.9497663992 +46 32 26.107970964; 43.166 104.326     ;15.2865   ;-21.54     ;-0.000072   ;-21.54     ;     ~   ;6.188    ;5.217    ;     ~   ;4.963202 ;K0-III               
56  ;* rho Cyg                          ;PM*;21 33 58.8530450102 +45 35 30.620055459;-24.341 -93.511     ;25.9359   ;6.88       ;0.000023    ;6.88       ;5.47     ;4.91     ;4.02     ;3.31     ;3.754974 ;G8IIIFe-0.5          
57  ;V* W Cyg                           ;AB*;21 36 02.4974143922 +45 22 28.523281074;   62.004 0.200     ;5.1760    ;-12.87     ;-0.000043   ;-12.87     ;8.21     ;6.97     ;5.38     ;3.03     ;3.531106 ;M4e-M6eIII           
