C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.10CEST06:15:14

Vmag < 6 & maintypes='*'
------------------------

Number of objects : 5056

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type      
----;-----------------------------------;---;---------------------------------------;--------------------;----------;-----------;------------;-----------;---------;---------;---------;---------;---------;---------------------
1516;* tau CMa                          ;SB*;07 18 42.4849951654 -24 57 15.700749738;  -1.815 -0.496     ;0.5765    ;49.40      ;0.000165    ;49.40      ;3.26     ;4.25     ;4.40     ;4.44     ;4.282144 ;O9II                 
1517;* 27 CMa                           ;Be*;07 14 15.2117197408 -26 21 09.028965559;   -6.749 4.723     ;2.2694    ;16.30      ;0.000054    ;16.30      ;3.76     ;4.45     ;4.65     ;4.64     ;4.514025 ;B4Ve_sh              
1518;HD 56160                           ;PM*;07 14 51.1612101384 -27 02 16.782659232;-41.340 -29.244     ;12.1774   ;9.24       ;0.000031    ;9.24       ;     ~   ;6.823    ;5.582    ;     ~   ;5.211322 ;K5III                
1519;HD 55070                           ;*  ;07 10 19.3207717608 -27 29 29.468963904;   -9.365 2.377     ;4.9959    ;16.80      ;0.000056    ;16.80      ;     ~   ;6.441    ;5.448    ;     ~   ;5.203824 ;G9III                
1520;HD 56618                           ;*  ;07 16 34.9928126880 -27 52 52.244563692; -13.193 38.623     ;7.6228    ;41.5       ;0.000138    ;41.50      ;8.12     ;6.24     ;4.64     ;3.16     ;3.739262 ;M2III                
1521;HD 56342                           ;*  ;07 15 21.0681331056 -30 41 11.217833988; -13.502 14.360     ;4.7717    ;33.4       ;0.000111    ;33.40      ;     ~   ;5.182    ;5.337    ;     ~   ;5.316168 ;B2V                  
1522;HD 56779                           ;*  ;07 16 49.4082241536 -36 35 33.478464732;   -9.901 6.418     ;3.5295    ;9.00       ;0.000030    ;9.00       ;4.17     ;4.849    ;5.009    ;     ~   ;4.986543 ;B3V                  
1523;* ups01 Pup                        ;Be*;07 18 18.3935775563 -36 44 02.228526718;  -10.445 5.936     ;3.4962    ;18.6       ;0.000062    ;18.60      ;3.78     ;4.57     ;4.67     ;4.57     ;4.583200 ;B2V+B3IVne           
1524;* ups02 Pup                        ;Be*;07 18 38.1853955232 -36 44 33.854932104;  -10.172 6.621     ;2.9923    ;18.00      ;0.000060    ;18.00      ;4.28     ;4.95     ;5.11     ;5.17     ;5.064229 ;B3Vne                
1525;* pi. Pup                          ;LP*;07 17 08.5580780520 -37 05 50.904468727;  -11.562 6.520     ;5.7621    ;15.80      ;0.000053    ;15.80      ;5.57     ;4.32     ;2.70     ;1.46     ;2.083237 ;K4III                
1526;* A Pup                            ;Ce*;07 08 51.0681448893 -39 39 20.359080790;  -10.577 7.785     ;3.7743    ;19.5       ;0.000065    ;19.50      ;3.96     ;4.65     ;4.83     ;4.90     ;4.782602 ;B3IV/V               
1527;HD 56733                           ;SB*;07 16 31.8498254424 -38 19 08.120651916;  -12.882 6.675     ;3.5757    ;32.00      ;0.000107    ;32.00      ;5.07     ;5.657    ;5.797    ;     ~   ;5.780819 ;B4V                  
1528;* F Pup                            ;*  ;07 18 33.5125134936 -39 12 37.023109992;   -9.529 9.565     ;7.3579    ;33.79      ;0.000113    ;33.79      ;     ~   ;5.261    ;5.243    ;     ~   ;5.240641 ;A0V                  
1529;* E Pup                            ;SB*;07 12 15.8070021456 -40 29 55.755380940; -18.376 -8.220     ;7.5641    ;-4.40      ;-0.000015   ;-4.40      ;     ~   ;5.38     ;5.31     ;     ~   ;5.301806 ;A1/2V:+ApSrEu        
1530;HD 56410                           ;*  ;07 14 57.1530985824 -41 25 35.021185104;    3.627 9.296     ;5.6468    ;24.40      ;0.000081    ;24.40      ;     ~   ;5.790    ;5.942    ;     ~   ;5.915371 ;B8pSi                
1531;* 66 Aur                           ;*  ;07 24 08.4675588912 +40 40 20.599881492; -4.081 -21.023     ;3.2175    ;22.924801  ;0.000076    ;22.93      ;     ~   ;6.434    ;5.188    ;     ~   ;4.863514 ;K0.5IIIa             
1532;* 65 Aur                           ;PM*;07 22 02.6176036752 +36 45 38.100968820;-97.064 -22.733     ;12.6451   ;22.14      ;0.000074    ;22.14      ;     ~   ;6.206    ;5.120    ;     ~   ;4.795151 ;G8III                
1533;* rho Gem                          ;PM*;07 29 06.71887 +31 47 04.3773          ;  159.09 193.29     ;55.41     ;-2.67      ;-0.000009   ;-2.67      ;4.48     ;4.50     ;4.18     ;3.86     ;4.094832 ;F1V                  
1534;* 64 Gem                           ;PM*;07 29 20.4408416688 +28 07 05.794678236;-33.931 -52.782     ;18.5038   ;35.4       ;0.000118    ;35.40      ;     ~   ;5.181    ;5.064    ;     ~   ;5.039443 ;A4V                  
1535;* b Gem                            ;SB*;07 29 48.7619004480 +27 54 58.033303380;-29.312 -21.779     ;7.718     ;26.889700  ;0.000090    ;26.89      ;     ~   ;6.123    ;5.010    ;     ~   ;4.693162 ;G9IIIb               
1536;* iot Gem                          ;PM*;07 25 43.5956409143 +27 47 53.086950407;-122.060 -85.133    ;24.0201   ;7.432      ;0.000025    ;7.43       ;5.67     ;4.83     ;3.79     ;3.02     ;3.506550 ;G9IIIb               
1537;* 59 Gem                           ;*  ;07 24 33.4531218504 +27 38 16.281508164;  13.722 15.078     ;14.9819   ;-4.5       ;-0.000015   ;-4.50      ;     ~   ;6.110    ;5.759    ;     ~   ;5.692213 ;F0:III:              
1538;* 57 Gem                           ;PM*;07 23 28.5112982760 +25 03 01.912620384;-66.676 -29.082     ;18.1774   ;6.0950     ;0.000020    ;6.10       ;     ~   ;5.933    ;5.022    ;     ~   ;4.780956 ;G8II                 
1539;* del Gem                          ;SB*;07 20 07.3745658105 +21 58 56.294578663;-27.722 -14.702     ;53.7692   ;4.1        ;0.000014    ;4.10       ;3.91     ;3.87     ;3.53     ;3.17     ;3.457126 ;F2VkF0mF0            
1540;* 63 Gem                           ;SB*;07 27 44.3573297448 +21 26 43.004490108;-56.450 -121.068    ;30.8067   ;-82.30     ;-0.000274   ;-82.29     ;     ~   ;5.62     ;5.24     ;     ~   ;5.098743 ;F3V                  
1541;* 56 Gem                           ;PM*;07 21 56.8617906336 +20 26 37.169276928;-60.474 -23.693     ;7.6812    ;4.80       ;0.000016    ;4.80       ;     ~   ;6.630    ;5.080    ;     ~   ;4.457776 ;M0III                
1542;* 61 Gem                           ;** ;07 26 56.3284417224 +20 15 27.197178912;   2.113 -8.169     ;7.4357    ;9.00       ;0.000030    ;9.00       ;     ~   ;6.236    ;5.935    ;     ~   ;5.854714 ;F2Vn                 
1543;* 6 CMi                            ;*  ;07 29 47.7815351384 +12 00 23.627952074;  0.622 -19.161     ;5.5409    ;-16.31     ;-0.000054   ;-16.31     ;     ~   ;5.812    ;4.531    ;     ~   ;4.158181 ;K1III                
1544;* 1 CMi                            ;*  ;07 24 58.1800202736 +11 40 10.282487304;-15.574 -15.478     ;10.9796   ;-7.30      ;-0.000024   ;-7.30      ;     ~   ;5.461    ;5.361    ;     ~   ;5.344898 ;A5IV                 
1545;* eps CMi                          ;*  ;07 25 38.8996839840 +09 16 33.925520604;  -4.583 -8.414     ;3.9908    ;-6.505350  ;-0.000022   ;-6.51      ;     ~   ;5.990    ;4.986    ;     ~   ;4.723000 ;G6IIb                
1546;* gam CMi                          ;SB*;07 28 09.7942869528 +08 55 31.888128216; -62.112 11.141     ;3.134     ;46.80      ;0.000156    ;46.80      ;7.26     ;5.73     ;4.30     ;3.19     ;3.776754 ;K3-IIIFe-0.5         
1547;* bet CMi                          ;Be*;07 27 09.0417373 +08 17 21.536745      ;  -51.76 -38.29     ;20.17     ;22.00      ;0.000073    ;22.00      ;2.52     ;2.80     ;2.89     ;2.90     ;2.856039 ;B8Ve                 
1548;HD 57006                           ;PM*;07 19 47.6453421912 +07 08 34.611898560; 60.731 -58.963     ;18.4881   ;22.986     ;0.000077    ;22.99      ;     ~   ;6.429    ;5.910    ;     ~   ;5.782017 ;F8IV                 
1549;* eta CMi                          ;*  ;07 28 02.0748456576 +06 56 31.094187504; -3.109 -43.633     ;10.2172   ;19.09      ;0.000064    ;19.09      ;     ~   ;5.45     ;5.22     ;     ~   ;5.180653 ;F0III                
1550;HD 56989                           ;*  ;07 19 22.3744027416 +02 44 26.433851424;  -4.551 -9.272     ;4.4215    ;33.26      ;0.000111    ;33.26      ;     ~   ;6.948    ;5.887    ;     ~   ;5.592915 ;K0III                
1551;HD 57608                           ;*  ;07 22 03.4786871760 +00 10 37.637998896;   2.231 -1.786     ;1.8329    ;-0.48      ;-0.000002   ;-0.48      ;5.62     ;5.897    ;5.971    ;     ~   ;5.964321 ;B9II-III             
1552;HD 59311                           ;*  ;07 29 18.6680646240 -01 54 19.171482948;-11.102 -10.965     ;3.99      ;-4.9       ;-0.000016   ;-4.90      ;     ~   ;7.072    ;5.572    ;     ~   ;5.049998 ;K3/4III              
1553;HD 57749                           ;dS*;07 22 25.3899278880 -05 58 58.184091120; -11.890 -8.641     ;3.8939    ;0.78       ;0.000003    ;0.78       ;     ~   ;6.166    ;5.816    ;     ~   ;5.738196 ;F2III                
1554;HD 58526                           ;*  ;07 25 51.1999347000 -05 46 29.862957504;  -3.631 -2.490     ;1.7289    ;18.39      ;0.000061    ;18.39      ;     ~   ;6.895    ;5.962    ;     ~   ;5.753909 ;G3Ib                 
1555;HD 59380                           ;SB*;07 29 25.6609863875 -07 33 04.450065996; 43.969 146.958     ;33.6335   ;3.279      ;0.000011    ;3.28       ;     ~   ;6.327    ;5.853    ;     ~   ;5.746506 ;F6V                  
1556;HD 59381                           ;*  ;07 29 22.1075281680 -10 19 36.000227748;  -4.816 -3.887     ;2.6344    ;-7.3       ;-0.000024   ;-7.30      ;     ~   ;7.311    ;5.706    ;     ~   ;5.113252 ;K4/5III              
1557;HD 57478                           ;*  ;07 20 58.2849964992 -14 21 37.764717732; -11.702 -0.449     ;5.363     ;13.2       ;0.000044    ;13.20      ;     ~   ;6.544    ;5.584    ;     ~   ;5.332023 ;G8/K0III             
1558;HD 58461                           ;PM*;07 25 08.3153856744 -13 45 07.117163244;-202.889 -0.468     ;26.8143   ;8.711      ;0.000029    ;8.71       ;     ~   ;6.20     ;5.78     ;     ~   ;5.676682 ;F5VFe-0.8CH-0.5      
1559;V* R CMa                           ;SB*;07 19 28.1785241208 -16 23 42.895279824;165.693 -138.852    ;23.1638   ;-38.680    ;-0.000129   ;-38.68     ;6.09     ;6.05     ;5.70     ;     ~   ;5.619552 ;F2III/IV             
1560;HD 58954                           ;dS*;07 27 07.9899122714 -17 51 53.509236231;   -2.247 1.627     ;11.1127   ;-29.2      ;-0.000097   ;-29.20     ;     ~   ;5.92     ;5.62     ;     ~   ;5.559484 ;F2V                  
1561;HD 58343                           ;Be*;07 24 40.1873324160 -16 12 05.302248804; -4.986 -20.734     ;3.2782    ;-4.5       ;-0.000015   ;-4.50      ;4.52     ;5.15     ;5.19     ;5.05     ;5.153087 ;B2Vne                
1562;HD 57821                           ;*  ;07 22 13.5293333258 -19 00 59.764391990;  -1.110 -6.451     ;5.4657    ;32.90      ;0.000110    ;32.90      ;4.53     ;4.893    ;4.950    ;     ~   ;4.912242 ;B5II/III             
1563;HD 59136                           ;*  ;07 27 42.9367354488 -22 51 33.085990656;  -1.401 -2.279     ;2.7588    ;33.83      ;0.000113    ;33.83      ;5.48     ;5.86     ;5.97     ;     ~   ;5.953435 ;B5III                
1564;HD 59612                           ;*  ;07 29 51.4122982920 -23 01 27.444741492;   -2.831 4.172     ;0.7535    ;35.61      ;0.000119    ;35.61      ;5.27     ;5.10     ;4.86     ;4.58     ;4.765226 ;A5/7Iab/II           
1565;HD 58978                           ;Be*;07 26 59.4826856664 -23 05 09.689679528;   -6.692 4.054     ;1.7919    ;25.00      ;0.000083    ;25.00      ;4.51     ;5.45     ;5.56     ;7.05     ;5.525184 ;B0.5IVe              
1566;HD 57146                           ;*  ;07 18 51.2737383648 -26 35 09.081112236;   -9.099 4.105     ;1.881     ;31.12      ;0.000104    ;31.12      ;     ~   ;6.258    ;5.288    ;     ~   ;5.024112 ;G2Ib                 
1567;HD 58612                           ;Pu*;07 25 25.2677568912 -25 13 03.954312840;  -8.855 -0.039     ;2.2329    ;22.82      ;0.000076    ;22.82      ;5.3      ;5.671    ;5.782    ;     ~   ;5.760267 ;B5III                
1568;V* MZ CMa                          ;LP*;07 21 04.3320754008 -25 53 29.921713404; -13.220 12.706     ;4.6281    ;23.4       ;0.000078    ;23.40      ;     ~   ;7.475    ;5.886    ;     ~   ;4.860951 ;M3-III-IIIa          
1569;V* HQ CMa                          ;EB*;07 20 54.9153770208 -26 57 49.812490368;   -4.135 5.821     ;1.5391    ;18.00      ;0.000060    ;18.00      ;     ~   ;5.816    ;5.986    ;     ~   ;5.960960 ;B3V                  
1570;HD 58215                           ;*  ;07 23 28.9926186576 -27 50 03.461397576;  26.466 -4.207     ;4.7843    ;49.97      ;0.000167    ;49.97      ;     ~   ;6.890    ;5.356    ;     ~   ;4.770483 ;K4III                
1571;HD 58155                           ;Be*;07 23 00.6973567920 -31 55 25.602435120;   -7.964 4.966     ;2.5257    ;23.5       ;0.000078    ;23.50      ;4.60     ;5.28     ;5.43     ;     ~   ;5.373729 ;B3V                  
1572;HD 58535                           ;*  ;07 24 43.8541565621 -31 48 32.057079848;  -21.181 9.185     ;5.1382    ;19.41      ;0.000065    ;19.41      ;     ~   ;6.358    ;5.280    ;     ~   ;5.0238   ;K1+III               
1573;HD 59550                           ;*  ;07 29 04.9147536024 -31 27 22.384517904;   -9.376 4.982     ;2.9027    ;8.00       ;0.000027    ;8.00       ;4.82     ;5.585    ;5.768    ;     ~   ;5.747748 ;B2IV                 
1574;HD 59256                           ;*  ;07 27 59.1598818816 -29 09 21.235356792;   -8.561 3.725     ;4.4194    ;4.2        ;0.000014    ;4.20       ;     ~   ;5.492    ;5.542    ;     ~   ;5.523808 ;B9V(pSi)             
1575;* eta CMa                          ;s*b;07 24 05.70228 -29 18 11.1798          ;     -4.14 5.81     ;1.64      ;41.1       ;0.000137    ;41.10      ;1.65     ;2.37     ;2.45     ;2.38     ;2.450408 ;B5Ia                 
1576;HD 58286                           ;Pu*;07 23 31.8950856528 -32 12 07.436095704;   -6.208 5.285     ;2.5396    ;21.3       ;0.000071    ;21.30      ;4.52     ;5.21     ;5.39     ;     ~   ;5.356618 ;B2/3II/III           
1577;HD 59026                           ;*  ;07 26 42.4656369864 -34 08 26.499461784;   -8.173 5.768     ;2.9640    ;7.00       ;0.000023    ;7.00       ;5.04     ;5.730    ;5.884    ;     ~   ;5.868194 ;B3/5V                
1578;* y Pup                            ;XB*;07 29 05.6951953008 -38 48 43.442359164; -19.836 15.281     ;5.0843    ;24.00      ;0.000080    ;24.00      ;     ~   ;5.243    ;5.395    ;     ~   ;5.388409 ;B3V                  
1579;HD 61294                           ;*  ;07 40 14.6930840928 +38 20 40.347143196;-39.997 -10.303     ;3.24      ;46.26      ;0.000154    ;46.26      ;9.31     ;7.36     ;5.73     ;     ~   ;5.059237 ;M0III                
1580;* 70 Gem                           ;*  ;07 38 32.8639164696 +35 02 54.779445240;  38.492 27.757     ;9.9583    ;-36.33     ;-0.000121   ;-36.33     ;     ~   ;6.501    ;5.572    ;     ~   ;5.339538 ;G8III                
1581;* omi Gem                          ;PM*;07 39 09.9346623336 +34 35 03.502791096;-37.975 -105.132    ;19.3338   ;13.70      ;0.000046    ;13.70      ;5.41     ;5.30     ;4.90     ;4.51     ;4.771059 ;F5-6IV               
1582;* alf Gem                          ;** ;07 34 35.87319 +31 53 17.8160          ;-191.45 -145.19     ;64.12     ;-11.230    ;-0.000037   ;-11.23     ;1.64     ;1.62     ;1.58     ;1.51     ;     ~   ;A1V+A2Vm             
1583;* alf Gem A                        ;SB*;07 34 35.862828 +31 53 17.79429        ;  -206.3 -148.2     ;      ~   ;6.0        ;0.000020    ;6.00       ;     ~   ;     ~   ;1.9      ;     ~   ;     ~   ;A1.5IV+              
1584;* alf Gem B                        ;SB*;07 34 36.100452 +31 53 18.57117        ;  -206.3 -148.2     ;      ~   ;-1.2       ;-0.000004   ;-1.20      ;     ~   ;     ~   ;3.0      ;     ~   ;2.924797 ;kA0hA2:mA1IVs        
1585;HD 60318                           ;** ;07 35 08.8032282360 +30 57 39.304643436;  -25.437 7.399     ;7.912     ;-4.983880  ;-0.000017   ;-4.98      ;     ~   ;6.366    ;5.347    ;     ~   ;5.025065 ;K0III                
1586;* ups Gem                          ;PM*;07 35 55.3500141720 +26 53 44.680194960;-32.841 -106.002    ;12.8761   ;-21.61     ;-0.000072   ;-21.61     ;7.54     ;5.60     ;4.06     ;2.82     ;3.386472 ;M0III                
1587;HD 61603                           ;*  ;07 40 58.5185843832 +23 01 06.703077972; -7.162 -12.340     ;2.8134    ;39.979099  ;0.000133    ;39.98      ;     ~   ;7.458    ;5.906    ;     ~   ;5.330736 ;K5III                
1588;HD 59686                           ;PM*;07 31 48.4045109592 +17 05 09.764723724; 39.385 -75.752     ;11.3298   ;-33.55     ;-0.000112   ;-33.55     ;     ~   ;6.574    ;5.442    ;     ~   ;5.137375 ;K2III                
1589;* f Gem                            ;** ;07 39 28.5933680280 +17 40 28.278616584;   5.374 -1.199     ;5.1083    ;25.38      ;0.000085    ;25.38      ;8.53     ;6.61     ;5.05     ;     ~   ;4.348118 ;K5.5III              
1590;* 68 Gem                           ;** ;07 33 36.4828630437 +15 49 35.992238287;-18.612 -11.058     ;7.0488    ;12.00      ;0.000040    ;12.00      ;     ~   ;5.310    ;5.263    ;     ~   ;5.201296 ;A1Vp                 
1591;HD 60803                           ;SB*;07 36 34.7058306168 +05 51 43.818971508;-109.817 27.662     ;24.0803   ;33.246498  ;0.000111    ;33.25      ;     ~   ;6.479    ;5.888    ;     ~   ;5.754037 ;G0V                  
1592;* alf CMi                          ;SB*;07 39 18.11950 +05 13 29.9552          ;-714.59 -1036.80    ;284.56    ;-4.505280  ;-0.000015   ;-4.51      ;0.82     ;0.79     ;0.37     ;-0.05    ;     ~   ;F5IV-V+DQZ           
1593;* del02 CMi                        ;*  ;07 33 11.6657432976 +03 17 25.365062508; -15.909 42.696     ;23.1488   ;3.40       ;0.000011    ;3.40       ;     ~   ;5.895    ;5.571    ;     ~   ;5.521031 ;F1III-IV             
1594;* del03 CMi                        ;*  ;07 34 15.8926031424 +03 22 18.207554880;  -2.534 -5.305     ;4.603     ;33.8       ;0.000113    ;33.80      ;     ~   ;5.789    ;5.817    ;     ~   ;5.815489 ;B9V                  
1595;* del01 CMi                        ;*  ;07 32 05.9488273416 +01 54 52.126832700;  -2.129 -0.868     ;3.9896    ;29.1       ;0.000097    ;29.10      ;     ~   ;5.448    ;5.233    ;     ~   ;5.189567 ;F0V                  
1596;* 25 Mon                           ;dS*;07 37 16.6910262168 -04 06 39.533872608; -67.624 16.998     ;15.7974   ;48.33      ;0.000161    ;48.33      ;     ~   ;5.570    ;5.131    ;     ~   ;5.014442 ;F6III                
1597;V* U Mon                           ;pA*;07 30 47.4711645432 -09 46 36.757477488;   -7.938 1.260     ;1.2778    ;34.6       ;0.000115    ;34.60      ;8.22     ;7.00     ;5.82     ;     ~   ;5.807805 ;G8/K0Ib/II           
1598;* alf Mon                          ;PM*;07 41 14.8319734511 -09 33 04.077766984;-74.989 -19.838     ;22.3839   ;11.161     ;0.000037    ;11.16      ;5.83     ;4.95     ;3.93     ;3.16     ;3.660842 ;G9.5III-IIIbFe-0.5   
1599;HD 59984                           ;PM*;07 32 05.7629164512 -08 52 52.775251032;-91.986 -167.789    ;34.8832   ;54.945     ;0.000183    ;54.95      ;     ~   ;6.431    ;5.916    ;     ~   ;5.776708 ;G0VFe-1.6CH-0.5      
1600;* 140 Pup                          ;*  ;07 40 23.2104428256 -15 15 50.110710444; -2.171 -27.678     ;4.6915    ;0.50       ;0.000002    ;0.50       ;     ~   ;6.503    ;4.951    ;     ~   ;4.385929 ;K3III                
1601;V* KQ Pup                          ;s*r;07 33 47.9667844248 -14 31 26.054356260;   -6.997 3.998     ;1.3538    ;22.0       ;0.000073    ;22.00      ;6.67     ;6.38     ;4.97     ;3.41     ;3.896420 ;M1Iabe+B2            
1602;HD 60855                           ;Be*;07 36 03.8931067344 -14 29 33.978895368;   -7.108 0.542     ;2.0401    ;22.10      ;0.000074    ;22.10      ;4.87     ;5.58     ;5.70     ;5.72     ;5.633544 ;B2Ve                 
1603;HD 60341                           ;PM*;07 33 19.5646164336 -19 24 45.092391408; 24.196 -70.219     ;10.9801   ;18.62      ;0.000062    ;18.62      ;     ~   ;6.765    ;5.630    ;     ~   ;5.328719 ;K0III                
1604;V* PT Pup                          ;bC*;07 36 41.0352383592 -19 42 08.425020168;   -6.445 3.783     ;1.5724    ;37.83      ;0.000126    ;37.83      ;4.65     ;5.524    ;5.699    ;     ~   ;5.670481 ;B2III                
1605;HD 61774                           ;*  ;07 40 13.5286102056 -19 39 39.096410976;  -4.271 12.714     ;4.6036    ;-2.52      ;-0.000008   ;-2.52      ;     ~   ;7.074    ;5.921    ;     ~   ;5.602173 ;K0III                
1606;HD 60532                           ;PM*;07 34 03.1805638968 -22 17 45.843172440; -40.180 46.791     ;38.1379   ;61.042     ;0.000204    ;61.05      ;5.02     ;4.94     ;4.39     ;     ~   ;4.305430 ;F6IV-V               
1607;HD 60345                           ;*  ;07 33 09.7759152384 -24 42 38.643307200;  -4.314 22.216     ;10.6424   ;17.62      ;0.000059    ;17.62      ;6.08     ;5.98     ;5.83     ;     ~   ;5.827828 ;A3III                
1608;* m Pup                            ;Pu*;07 38 18.0458562428 -25 21 53.300773235;  -2.344 -6.468     ;4.8542    ;0.388      ;0.000001    ;0.39       ;     ~   ;4.58     ;4.67     ;     ~   ;4.657461 ;B8III                
1609;* n Pup B                          ;PM*;07 34 19.2571325568 -23 28 29.630454852;-87.258 -11.556     ;32.7919   ;-6.1       ;-0.000020   ;-6.10      ;     ~   ;6.248    ;5.795    ;6.57     ;5.758239 ;F6V                  
1610;* n Pup A                          ;PM*;07 34 18.6176573688 -23 28 25.192762896; -88.134 -0.860     ;32.7467   ;-4.22      ;-0.000014   ;-4.22      ;     ~   ;6.200    ;5.770    ;6.55     ;5.718247 ;F5V                  
1611;* n Pup                            ;** ;07 34 18.61666 -23 28 25.1940          ;   -89.46 -0.33     ;31.56     ;-6.50      ;-0.000022   ;-6.50      ;5.55     ;5.52     ;5.09     ;     ~   ;     ~   ;F5V+F6V              
1612;HD 60666                           ;PM*;07 34 34.7947496856 -27 00 44.190603936; -46.948 71.571     ;9.8405    ;-5.86      ;-0.000020   ;-5.86      ;     ~   ;6.807    ;5.770    ;     ~   ;5.495118 ;K1III                
1613;* k01 Pup                          ;*  ;07 38 49.3751428464 -26 48 06.324538176; -18.556 11.081     ;9.0301    ;23.6       ;0.000079    ;23.60      ;3.76     ;4.33     ;4.50     ;     ~   ;4.631690 ;B6V                  
1614;* k02 Pup                          ;*  ;07 38 49.8707332608 -26 48 13.849787556; -17.567 21.662     ;8.3058    ;33.0       ;0.000110    ;33.00      ;     ~   ;4.26     ;4.429    ;     ~   ;4.421562 ;B5IV                 
1615;* p Pup                            ;PM*;07 35 22.8916201248 -28 22 09.605230968; -60.256 -7.742     ;13.6185   ;3.30       ;0.000011    ;3.30       ;4.13     ;4.52     ;4.63     ;     ~   ;4.609010 ;B7V                  
1616;HD 59890                           ;*  ;07 30 42.6019759200 -30 57 44.209928016;  -11.969 1.055     ;2.3999    ;15.87      ;0.000053    ;15.87      ;6.21     ;5.58     ;4.65     ;3.98     ;4.403862 ;G2Iab/b              
1617;* f Pup                            ;** ;07 37 22.10978 -34 58 06.7109          ;   -14.21 16.32     ;9.05      ;24.00      ;0.000080    ;24.00      ;4.13     ;4.44     ;4.53     ;4.55     ;4.4051   ;B8IV/V               
1618;* z Pup                            ;Be*;07 33 51.0415389912 -36 20 18.212736408;   -7.398 6.062     ;2.5769    ;-9.00      ;-0.000030   ;-9.00      ;4.67     ;5.37     ;5.44     ;5.33     ;5.382320 ;B2Vne                
1619;* e Pup                            ;*  ;07 38 43.8986356728 -36 29 48.598167516;   -7.547 5.591     ;2.7890    ;19.00      ;0.000063    ;19.00      ;4.94     ;5.64     ;5.80     ;     ~   ;5.749745 ;B3III                
1620;* d04 Pup                          ;Be*;07 39 57.9910948536 -37 34 45.927401196;  -0.830 -4.510     ;1.911     ;7.00       ;0.000023    ;7.00       ;5.50     ;5.944    ;5.996    ;     ~   ;5.972343 ;B5IV                 
1621;* d02 Pup                          ;Pu*;07 39 43.8155696712 -38 08 21.473167920; -21.877 17.036     ;4.8969    ;30.00      ;0.000100    ;30.00      ;     ~   ;5.62     ;5.77     ;     ~   ;5.782190 ;B5V                  
1622;* d03 Pup                          ;Pu*;07 39 47.8749200736 -38 15 38.348382060;  -10.200 9.511     ;2.3923    ;22.6       ;0.000075    ;22.60      ;     ~   ;5.667    ;5.747    ;     ~   ;5.726843 ;B3III                
1623;* d01 Pup                          ;*  ;07 39 27.3386401968 -38 18 28.884430663; -20.700 16.079     ;5.1576    ;26.4       ;0.000088    ;26.40      ;3.99     ;4.65     ;4.84     ;4.92     ;4.787930 ;B3V                  
1624;V* DU Lyn                          ;LP*;07 46 39.2803879296 +37 31 02.622798768;  28.161 13.084     ;8.2452    ;-37.20     ;-0.000124   ;-37.20     ;8.70     ;6.76     ;5.18     ;     ~   ;4.318050 ;M3III                
1625;* pi. Gem                          ;*  ;07 47 30.3238244376 +33 24 56.508708672;-17.480 -28.334     ;5.5547    ;-13.36     ;-0.000045   ;-13.36     ;8.69     ;6.74     ;5.14     ;     ~   ;4.415376 ;M0III                
1626;* sig Gem                          ;RS*;07 43 18.7276907303 +28 53 00.631838445;61.692 -229.213     ;27.1210   ;44.15      ;0.000147    ;44.15      ;6.38     ;5.41     ;4.29     ;3.37     ;3.968050 ;K1IIIe               
1627;* c Gem                            ;*  ;07 44 06.9149708736 +25 47 02.976443160;-13.326 -20.079     ;5.0247    ;1.33       ;0.000004    ;1.33       ;     ~   ;6.829    ;5.289    ;     ~   ;4.690304 ;K4.5III              
1628;* bet Gem                          ;PM*;07 45 18.94987 +28 01 34.3160          ; -626.55 -45.80     ;96.54     ;3.391      ;0.000011    ;3.39       ;3.00     ;2.14     ;1.14     ;0.39     ;     ~   ;K0IIIb               
1629;* kap Gem                          ;** ;07 44 26.8438122013 +24 23 52.787290890;-28.403 -50.675     ;22.0907   ;20.15      ;0.000067    ;20.15      ;5.19     ;4.49     ;3.57     ;2.86     ;3.339139 ;G8III-IIIb           
1630;* g Gem                            ;SB*;07 46 07.4484186384 +18 30 35.993172960;-77.972 -51.680     ;10.5086   ;83.13      ;0.000277    ;83.14      ;8.09     ;6.33     ;4.87     ;3.72     ;4.289497 ;K4III                
1631;HD 61885                           ;*  ;07 41 51.8463135120 +13 28 49.641804696;-36.611 -23.523     ;3.9204    ;5.80       ;0.000019    ;5.80       ;9.450    ;7.460    ;5.800    ;     ~   ;4.931006 ;M2III                
1632;V* NZ Gem                          ;S* ;07 42 03.2180829960 +14 12 30.622309884;  -1.762 -9.981     ;2.7258    ;-15.21     ;-0.000051   ;-15.21     ;9.11     ;7.20     ;5.56     ;3.96     ;4.508947 ;M3+II-III            
1633;* 11 CMi                           ;*  ;07 46 16.2012354264 +10 46 05.706137856;-30.318 -25.278     ;10.8334   ;28.00      ;0.000093    ;28.00      ;     ~   ;5.247    ;5.237    ;     ~   ;5.224513 ;A1Vnn                
